ensembl_id	species	gene_symbol	ens_orthogroup_id	ens_hqorthogroup_id	species_code
ENSMUSG00000031835	mouse	Mbtps1	OG_08311	HQ_06724	MOUSE
ENSMUSG00000031837	mouse	Necab2	OG_15505	HQ_13631	MOUSE
ENSMUSG00000031838	mouse	Ifi30	OG_14776	HQ_12885	MOUSE
ENSMUSG00000031839	mouse	Hsbp1	OG_19243	HQ_18833	MOUSE
ENSMUSG00000031840	mouse	Rab3a	OG_04608	HQ_03050	MOUSE
ENSMUSG00000031841	mouse	Cdh13	OG_08312	HQ_06725	MOUSE
ENSMUSG00000031842	mouse	Pde4c	OG_04609	HQ_03051	MOUSE
ENSMUSG00000031843	mouse	Mphosph6	OG_00472	HQ_06018	MOUSE
ENSMUSG00000031844	mouse	Hsd17b2	OG_03535	HQ_01972	MOUSE
ENSMUSG00000031845	mouse	Bco1	OG_07605	HQ_06017	MOUSE
ENSMUSG00000031847	mouse	1700030J22Rik	OG_11165	HQ_09482	MOUSE
ENSMUSG00000031848	mouse	Lsm4	OG_06978	HQ_05403	MOUSE
ENSMUSG00000031849	mouse	Comp	OG_04613	HQ_13695	MOUSE
ENSMUSG00000031851	mouse	Ntpcr	OG_07619	HQ_06033	MOUSE
ENSMUSG00000031853	mouse	Map3k21	OG_08624	HQ_07028	MOUSE
ENSMUSG00000031858	mouse	Mau2	OG_06918	HQ_05346	MOUSE
ENSMUSG00000031860	mouse	Pbx4	OG_04631	HQ_03071	MOUSE
ENSMUSG00000031861	mouse	Lpar2	OG_02867	HQ_01300	MOUSE
ENSMUSG00000031862	mouse	Atp13a1	OG_04634	HQ_03074	MOUSE
ENSMUSG00000031864	mouse	Ints10	OG_04460	HQ_13650	MOUSE
ENSMUSG00000031865	mouse	Dctn1	OG_14525	HQ_12659	MOUSE
ENSMUSG00000031870	mouse	Pgr	OG_15422	HQ_13490	MOUSE
ENSMUSG00000031871	mouse	Cdh5	OG_12859	HQ_11100	MOUSE
ENSMUSG00000031872	mouse	Bean1	OG_11180	HQ_09499	MOUSE
ENSMUSG00000031875	mouse	Cmtm3	OG_08308	HQ_14309	MOUSE
ENSMUSG00000031877	mouse	Ces2g	OG_00148	HQ_00024	MOUSE
ENSMUSG00000031878	mouse	Nae1	OG_16145	HQ_14601	MOUSE
ENSMUSG00000031879	mouse	Ciao2b	OG_11191	HQ_09511	MOUSE
ENSMUSG00000031880	mouse	Rrad	OG_11190	HQ_09510	MOUSE
ENSMUSG00000031881	mouse	Cdh16	OG_11189	HQ_09509	MOUSE
ENSMUSG00000031883	mouse	Car7	OG_11552	HQ_09854	MOUSE
ENSMUSG00000031885	mouse	Cbfb	OG_02975	HQ_01411	MOUSE
ENSMUSG00000031886	mouse	Ces2e	OG_00148	HQ_00024	MOUSE
ENSMUSG00000031887	mouse	Tradd	OG_15502	HQ_13625	MOUSE
ENSMUSG00000031889	mouse	Phaf1	OG_06513	HQ_04950	MOUSE
ENSMUSG00000031891	mouse	Hsd11b2	OG_12534	HQ_10803	MOUSE
ENSMUSG00000031893	mouse	Tsnaxip1	OG_04289	HQ_02742	MOUSE
ENSMUSG00000031896	mouse	Ctrl	OG_15955	HQ_14311	MOUSE
ENSMUSG00000031897	mouse	Psmb10	OG_14555	HQ_12686	MOUSE
ENSMUSG00000031898	mouse	Dpep3	OG_08334	HQ_06749	MOUSE
ENSMUSG00000031901	mouse	Dus2	OG_11310	HQ_09625	MOUSE
ENSMUSG00000031902	mouse	Nfatc3	OG_03119	HQ_01554	MOUSE
ENSMUSG00000031903	mouse	Pla2g15	OG_04319	HQ_02771	MOUSE
ENSMUSG00000031904	mouse	Slc7a6	OG_04318	HQ_13628	MOUSE
ENSMUSG00000031906	mouse	Smpd3	OG_04316	HQ_02769	MOUSE
ENSMUSG00000031907	mouse	Zfp90	OG_13386	HQ_11598	MOUSE
ENSMUSG00000031910	mouse	Has3	OG_04313	HQ_02766	MOUSE
ENSMUSG00000031913	mouse	Vps4a	OG_07213	HQ_05629	MOUSE
ENSMUSG00000031916	mouse	Cog8	OG_14657	HQ_12781	MOUSE
ENSMUSG00000031917	mouse	Nip7	OG_01470	HQ_05627	MOUSE
ENSMUSG00000031918	mouse	Mtmr2	OG_03545	HQ_01980	MOUSE
ENSMUSG00000031919	mouse	Tmed6	OG_09846	HQ_08222	MOUSE
ENSMUSG00000031921	mouse	Terf2	OG_07212	HQ_05628	MOUSE
ENSMUSG00000031922	mouse	Cep57	OG_01727	HQ_09393	MOUSE
ENSMUSG00000031924	mouse	Cyb5b	OG_04305	HQ_02758	MOUSE
ENSMUSG00000031925	mouse	Maml2	OG_13324	HQ_11543	MOUSE
ENSMUSG00000031927	mouse	1700012B09Rik	OG_15041	HQ_13122	MOUSE
ENSMUSG00000031928	mouse	Mre11a	OG_01118	HQ_00909	MOUSE
ENSMUSG00000031930	mouse	Wwp2	OG_14234	HQ_12399	MOUSE
ENSMUSG00000031931	mouse	Ankrd49	OG_11571	HQ_09874	MOUSE
ENSMUSG00000031932	mouse	Gpr83	OG_15699	HQ_13944	MOUSE
ENSMUSG00000031933	mouse	Izumo1r	OG_13217	HQ_11440	MOUSE
ENSMUSG00000031934	mouse	Panx1	OG_05087	HQ_03543	MOUSE
ENSMUSG00000031935	mouse	Med17	OG_02622	HQ_01062	MOUSE
ENSMUSG00000031936	mouse	Hephl1	OG_12998	HQ_11232	MOUSE
ENSMUSG00000031937	mouse	Vstm5	OG_14720	HQ_12843	MOUSE
ENSMUSG00000031938	mouse	4931406C07Rik	OG_13147	HQ_11377	MOUSE
ENSMUSG00000031939	mouse	Taf1d	OG_11069	HQ_SNG_008193	MOUSE
ENSMUSG00000031948	mouse	Kars	OG_02897	HQ_01333	MOUSE
ENSMUSG00000031949	mouse	Adat1	OG_02898	HQ_01334	MOUSE
ENSMUSG00000031950	mouse	Gabarapl2	OG_00452	HQ_13378	MOUSE
ENSMUSG00000031951	mouse	Tmem231	OG_14544	HQ_12675	MOUSE
ENSMUSG00000031952	mouse	Chst5	OG_19244	HQ_18834	MOUSE
ENSMUSG00000031953	mouse	Tmem170	OG_11218	HQ_09537	MOUSE
ENSMUSG00000031954	mouse	Cfdp1	OG_09543	HQ_07929	MOUSE
ENSMUSG00000031955	mouse	Bcar1	OG_02703	HQ_01144	MOUSE
ENSMUSG00000031957	mouse	Ctrb1	OG_18236	HQ_17339	MOUSE
ENSMUSG00000031958	mouse	Ldhd	OG_11215	HQ_09534	MOUSE
ENSMUSG00000031959	mouse	Wdr59	OG_04322	HQ_02774	MOUSE
ENSMUSG00000031960	mouse	Aars	OG_03681	HQ_02118	MOUSE
ENSMUSG00000031962	mouse	Cdh15	OG_06915	HQ_05344	MOUSE
ENSMUSG00000031963	mouse	Bmper	OG_10805	HQ_09128	MOUSE
ENSMUSG00000031965	mouse	Tbx20	OG_10793	HQ_09116	MOUSE
ENSMUSG00000031966	mouse	Glb1l3	OG_11082	HQ_09401	MOUSE
ENSMUSG00000031967	mouse	Afg3l1	OG_18237	HQ_18835	MOUSE
ENSMUSG00000031969	mouse	Acad8	OG_09338	HQ_07735	MOUSE
ENSMUSG00000031970	mouse	Dbndd1	OG_02179	HQ_00621	MOUSE
ENSMUSG00000031971	mouse	Ccsap	OG_09610	HQ_07995	MOUSE
ENSMUSG00000031972	mouse	Acta1	OG_08618	HQ_07023	MOUSE
ENSMUSG00000031974	mouse	Abcb10	OG_07618	HQ_06032	MOUSE
ENSMUSG00000031976	mouse	Urb2	OG_07615	HQ_06028	MOUSE
ENSMUSG00000031979	mouse	Cog2	OG_07617	HQ_06031	MOUSE
ENSMUSG00000031980	mouse	Agt	OG_07612	HQ_06025	MOUSE
ENSMUSG00000031981	mouse	Capn9	OG_07616	HQ_06030	MOUSE
ENSMUSG00000031982	mouse	Arv1	OG_12207	HQ_10487	MOUSE
ENSMUSG00000031983	mouse	2310022B05Rik	OG_05961	HQ_04420	MOUSE
ENSMUSG00000031984	mouse	2810004N23Rik	OG_08619	HQ_07024	MOUSE
ENSMUSG00000031985	mouse	Gnpat	OG_05781	HQ_04240	MOUSE
ENSMUSG00000031986	mouse	Sprtn	OG_02337	HQ_00782	MOUSE
ENSMUSG00000031987	mouse	Egln1	OG_01491	HQ_06029	MOUSE
ENSMUSG00000031988	mouse	Vps26b	OG_09340	HQ_07737	MOUSE
ENSMUSG00000031990	mouse	Jam3	OG_11079	HQ_09398	MOUSE
ENSMUSG00000031991	mouse	Spata19	OG_11085	HQ_09404	MOUSE
ENSMUSG00000031993	mouse	Snx19	OG_06087	HQ_04542	MOUSE
ENSMUSG00000031994	mouse	Adamts8	OG_07486	HQ_05895	MOUSE
ENSMUSG00000031995	mouse	St14	OG_09181	HQ_07579	MOUSE
ENSMUSG00000031996	mouse	Aplp2	OG_03469	HQ_01909	MOUSE
ENSMUSG00000031997	mouse	Trpc6	OG_07883	HQ_14246	MOUSE
ENSMUSG00000032000	mouse	Birc3	OG_15343	HQ_13368	MOUSE
ENSMUSG00000032002	mouse	Dcun1d5	OG_07887	HQ_06300	MOUSE
ENSMUSG00000032006	mouse	Pdgfd	OG_11882	HQ_10175	MOUSE
ENSMUSG00000032009	mouse	Sesn3	OG_09164	HQ_07561	MOUSE
ENSMUSG00000032010	mouse	Usp2	OG_02575	HQ_01016	MOUSE
ENSMUSG00000032011	mouse	Thy1	OG_09575	HQ_14528	MOUSE
ENSMUSG00000032012	mouse	Nectin1	OG_05098	HQ_03555	MOUSE
ENSMUSG00000032013	mouse	Trim29	OG_07889	HQ_06302	MOUSE
ENSMUSG00000032014	mouse	Oaf	OG_13304	HQ_11525	MOUSE
ENSMUSG00000032015	mouse	Pou2f3	OG_07892	HQ_06305	MOUSE
ENSMUSG00000032017	mouse	Grik4	OG_09180	HQ_07578	MOUSE
ENSMUSG00000032018	mouse	Sc5d	OG_05060	HQ_03515	MOUSE
ENSMUSG00000032020	mouse	Ubash3b	OG_09580	HQ_07965	MOUSE
ENSMUSG00000032021	mouse	Crtam	OG_05061	HQ_03516	MOUSE
ENSMUSG00000032023	mouse	Jhy	OG_05062	HQ_03517	MOUSE
ENSMUSG00000032024	mouse	Clmp	OG_11117	HQ_09435	MOUSE
ENSMUSG00000032026	mouse	Rexo2	OG_03231	HQ_01669	MOUSE
ENSMUSG00000032028	mouse	Nxpe2	OG_14467	HQ_15728	MOUSE
ENSMUSG00000032030	mouse	Cul5	OG_11123	HQ_09441	MOUSE
ENSMUSG00000032033	mouse	Barx2	OG_02628	HQ_01068	MOUSE
ENSMUSG00000032034	mouse	Kcnj5	OG_06088	HQ_04543	MOUSE
ENSMUSG00000032035	mouse	Ets1	OG_07488	HQ_05897	MOUSE
ENSMUSG00000032036	mouse	Kirrel3	OG_09200	HQ_07598	MOUSE
ENSMUSG00000032038	mouse	St3gal4	OG_05078	HQ_03535	MOUSE
ENSMUSG00000032040	mouse	Dcps	OG_15581	HQ_13748	MOUSE
ENSMUSG00000032041	mouse	Tirap	OG_09248	HQ_14485	MOUSE
ENSMUSG00000032042	mouse	Srpr	OG_13149	HQ_11379	MOUSE
ENSMUSG00000032044	mouse	Rpusd4	OG_10979	HQ_09300	MOUSE
ENSMUSG00000032046	mouse	Abhd12	OG_04058	HQ_02512	MOUSE
ENSMUSG00000032047	mouse	Acat1	OG_03197	HQ_01635	MOUSE
ENSMUSG00000032050	mouse	Rdx	OG_07893	HQ_06306	MOUSE
ENSMUSG00000032051	mouse	Fdx1	OG_07895	HQ_06308	MOUSE
ENSMUSG00000032053	mouse	Pou2af1	OG_05125	HQ_03582	MOUSE
ENSMUSG00000032056	mouse	Btg4	OG_07891	HQ_06304	MOUSE
ENSMUSG00000032057	mouse	Hoatz	OG_13231	HQ_11453	MOUSE
ENSMUSG00000032058	mouse	Ppp2r1b	OG_07894	HQ_06307	MOUSE
ENSMUSG00000032059	mouse	Alg9	OG_03541	HQ_13503	MOUSE
ENSMUSG00000032060	mouse	Cryab	OG_05052	HQ_03505	MOUSE
ENSMUSG00000032062	mouse	2310030G06Rik	OG_16052	HQ_14466	MOUSE
ENSMUSG00000032064	mouse	Dixdc1	OG_01603	HQ_07666	MOUSE
ENSMUSG00000032065	mouse	Tex12	OG_09275	HQ_07671	MOUSE
ENSMUSG00000032066	mouse	Bco2	OG_14128	HQ_12288	MOUSE
ENSMUSG00000032067	mouse	Pts	OG_09276	HQ_07672	MOUSE
ENSMUSG00000032068	mouse	Plet1	OG_13825	HQ_SNG_008194	MOUSE
ENSMUSG00000032076	mouse	Cadm1	OG_13156	HQ_11385	MOUSE
ENSMUSG00000032077	mouse	Bud13	OG_07882	HQ_06296	MOUSE
ENSMUSG00000032078	mouse	Zpr1	OG_05057	HQ_03511	MOUSE
ENSMUSG00000032079	mouse	Apoa5	OG_05088	HQ_03544	MOUSE
ENSMUSG00000032080	mouse	Apoa4	OG_15582	HQ_13752	MOUSE
ENSMUSG00000032081	mouse	Apoc3	OG_15583	HQ_SNG_008195	MOUSE
ENSMUSG00000032083	mouse	Apoa1	OG_05882	HQ_13874	MOUSE
ENSMUSG00000032085	mouse	Tagln	OG_01598	HQ_07603	MOUSE
ENSMUSG00000032086	mouse	Bace1	OG_13561	HQ_11765	MOUSE
ENSMUSG00000032087	mouse	Dscaml1	OG_12613	HQ_10875	MOUSE
ENSMUSG00000032089	mouse	Il10ra	OG_05092	HQ_03548	MOUSE
ENSMUSG00000032091	mouse	Tmprss4	OG_15911	HQ_14245	MOUSE
ENSMUSG00000032092	mouse	Mpzl2	OG_09201	HQ_07599	MOUSE
ENSMUSG00000032093	mouse	Cd3e	OG_14338	HQ_15682	MOUSE
ENSMUSG00000032094	mouse	Cd3d	OG_11314	HQ_09630	MOUSE
ENSMUSG00000032096	mouse	Arcn1	OG_03769	HQ_02209	MOUSE
ENSMUSG00000032097	mouse	Ddx6	OG_00808	HQ_03552	MOUSE
ENSMUSG00000032098	mouse	Treh	OG_05879	HQ_04338	MOUSE
ENSMUSG00000032099	mouse	Pate4	OG_14891	HQ_SNG_008196	MOUSE
ENSMUSG00000032101	mouse	Ddx25	OG_05051	HQ_03504	MOUSE
ENSMUSG00000032103	mouse	Pus3	OG_05073	HQ_03530	MOUSE
ENSMUSG00000032105	mouse	Pdzd3	OG_12072	HQ_10357	MOUSE
ENSMUSG00000032108	mouse	Pate6	OG_19245	HQ_SNG_008197	MOUSE
ENSMUSG00000032109	mouse	Nlrx1	OG_10166	HQ_08521	MOUSE
ENSMUSG00000032110	mouse	Acrv1	OG_07487	HQ_05896	MOUSE
ENSMUSG00000032112	mouse	Trappc4	OG_16865	HQ_15593	MOUSE
ENSMUSG00000032113	mouse	Chek1	OG_09197	HQ_07595	MOUSE
ENSMUSG00000032114	mouse	Slc37a4	OG_07890	HQ_06303	MOUSE
ENSMUSG00000032115	mouse	Hyou1	OG_09182	HQ_07580	MOUSE
ENSMUSG00000032116	mouse	Stt3a	OG_07485	HQ_05894	MOUSE
ENSMUSG00000032118	mouse	Fez1	OG_09198	HQ_07596	MOUSE
ENSMUSG00000032119	mouse	Hinfp	OG_12057	HQ_10341	MOUSE
ENSMUSG00000032120	mouse	C2cd2l	OG_12073	HQ_10358	MOUSE
ENSMUSG00000032121	mouse	Tmem218	OG_09247	HQ_07642	MOUSE
ENSMUSG00000032122	mouse	Slc37a2	OG_07489	HQ_05898	MOUSE
ENSMUSG00000032123	mouse	Dpagt1	OG_12056	HQ_10340	MOUSE
ENSMUSG00000032125	mouse	Robo4	OG_01629	HQ_14530	MOUSE
ENSMUSG00000032126	mouse	Hmbs	OG_15033	HQ_13115	MOUSE
ENSMUSG00000032127	mouse	Vps11	OG_10165	HQ_08520	MOUSE
ENSMUSG00000032128	mouse	Robo3	OG_09581	HQ_14531	MOUSE
ENSMUSG00000032131	mouse	Abcg4	OG_12069	HQ_10353	MOUSE
ENSMUSG00000032135	mouse	Mcam	OG_03248	HQ_01686	MOUSE
ENSMUSG00000032171	mouse	Pin1	OG_06726	HQ_14012	MOUSE
ENSMUSG00000032172	mouse	Olfm2	OG_04522	HQ_02970	MOUSE
ENSMUSG00000032174	mouse	Icam5	OG_04565	HQ_03011	MOUSE
ENSMUSG00000032175	mouse	Tyk2	OG_04569	HQ_03015	MOUSE
ENSMUSG00000032177	mouse	Pde4a	OG_02918	HQ_01355	MOUSE
ENSMUSG00000032178	mouse	Ilf3	OG_06880	HQ_05312	MOUSE
ENSMUSG00000032179	mouse	Bmp5	OG_15607	HQ_13787	MOUSE
ENSMUSG00000032180	mouse	Tmed1	OG_03814	HQ_02254	MOUSE
ENSMUSG00000032181	mouse	Scg3	OG_04408	HQ_02862	MOUSE
ENSMUSG00000032182	mouse	Yipf2	OG_07012	HQ_05434	MOUSE
ENSMUSG00000032184	mouse	Lysmd2	OG_08230	HQ_06638	MOUSE
ENSMUSG00000032185	mouse	Carm1	OG_08461	HQ_06869	MOUSE
ENSMUSG00000032186	mouse	Tmod2	OG_15761	HQ_14035	MOUSE
ENSMUSG00000032187	mouse	Smarca4	OG_15751	HQ_14019	MOUSE
ENSMUSG00000032191	mouse	Bcl2l10	OG_19065	HQ_SNG_008198	MOUSE
ENSMUSG00000032192	mouse	Gnb5	OG_03027	HQ_01463	MOUSE
ENSMUSG00000032193	mouse	Ldlr	OG_06934	HQ_05362	MOUSE
ENSMUSG00000032194	mouse	Kank2	OG_14082	HQ_12246	MOUSE
ENSMUSG00000032198	mouse	Dock6	OG_01449	HQ_14062	MOUSE
ENSMUSG00000032199	mouse	Polr2m	OG_15027	HQ_17196	MOUSE
ENSMUSG00000032202	mouse	Rab27a	OG_03028	HQ_01464	MOUSE
ENSMUSG00000032204	mouse	Aqp9	OG_04380	HQ_02833	MOUSE
ENSMUSG00000032207	mouse	Lipc	OG_11074	HQ_09392	MOUSE
ENSMUSG00000032212	mouse	Sltm	OG_07907	HQ_06320	MOUSE
ENSMUSG00000032215	mouse	Rsl24d1	OG_01518	HQ_06342	MOUSE
ENSMUSG00000032216	mouse	Nedd4	OG_03024	HQ_01460	MOUSE
ENSMUSG00000032217	mouse	Rnf111	OG_09859	HQ_08234	MOUSE
ENSMUSG00000032218	mouse	Ccnb2	OG_01646	HQ_08235	MOUSE
ENSMUSG00000032220	mouse	Myo1e	OG_09861	HQ_08237	MOUSE
ENSMUSG00000032221	mouse	Mns1	OG_08018	HQ_06431	MOUSE
ENSMUSG00000032224	mouse	Fam81a	OG_09860	HQ_08236	MOUSE
ENSMUSG00000032226	mouse	Gcnt3	OG_08234	HQ_06642	MOUSE
ENSMUSG00000032228	mouse	Tcf12	OG_08225	HQ_06634	MOUSE
ENSMUSG00000032231	mouse	Anxa2	OG_01906	HQ_11354	MOUSE
ENSMUSG00000032232	mouse	Cgnl1	OG_06839	HQ_05269	MOUSE
ENSMUSG00000032235	mouse	Ice2	OG_06844	HQ_05274	MOUSE
ENSMUSG00000032238	mouse	Rora	OG_03019	HQ_01455	MOUSE
ENSMUSG00000032239	mouse	Rp9	OG_01706	HQ_09127	MOUSE
ENSMUSG00000032243	mouse	Itga11	OG_07913	HQ_06326	MOUSE
ENSMUSG00000032244	mouse	Fem1b	OG_11594	HQ_09895	MOUSE
ENSMUSG00000032245	mouse	Cln6	OG_06851	HQ_05282	MOUSE
ENSMUSG00000032246	mouse	Calml4	OG_06853	HQ_05285	MOUSE
ENSMUSG00000032249	mouse	Anp32a	OG_00879	HQ_06650	MOUSE
ENSMUSG00000032251	mouse	Irak1bp1	OG_08909	HQ_07311	MOUSE
ENSMUSG00000032252	mouse	Glce	OG_08023	HQ_06435	MOUSE
ENSMUSG00000032253	mouse	Phip	OG_08910	HQ_07312	MOUSE
ENSMUSG00000032254	mouse	Kif23	OG_07912	HQ_06325	MOUSE
ENSMUSG00000032257	mouse	Ankk1	OG_17707	HQ_16663	MOUSE
ENSMUSG00000032258	mouse	Lca5	OG_07538	HQ_05950	MOUSE
ENSMUSG00000032259	mouse	Drd2	OG_09174	HQ_07571	MOUSE
ENSMUSG00000032261	mouse	Sh3bgrl2	OG_14246	HQ_12412	MOUSE
ENSMUSG00000032262	mouse	Elovl4	OG_05901	HQ_04359	MOUSE
ENSMUSG00000032263	mouse	Bckdhb	OG_03444	HQ_01881	MOUSE
ENSMUSG00000032264	mouse	Zw10	OG_03540	HQ_01976	MOUSE
ENSMUSG00000032265	mouse	Tent5a	OG_05364	HQ_03817	MOUSE
ENSMUSG00000032267	mouse	Usp28	OG_02657	HQ_01100	MOUSE
ENSMUSG00000032268	mouse	Tmprss5	OG_16282	HQ_16610	MOUSE
ENSMUSG00000032269	mouse	Htr3a	OG_11204	HQ_09525	MOUSE
ENSMUSG00000032271	mouse	Nnmt	OG_11205	HQ_09526	MOUSE
ENSMUSG00000032274	mouse	Cyp19a1	OG_00876	HQ_00209	MOUSE
ENSMUSG00000032278	mouse	Paqr5	OG_07917	HQ_06330	MOUSE
ENSMUSG00000032279	mouse	Idh3a	OG_01734	HQ_09468	MOUSE
ENSMUSG00000032280	mouse	Tle3	OG_08239	HQ_06649	MOUSE
ENSMUSG00000032281	mouse	Acsbg1	OG_04388	HQ_02841	MOUSE
ENSMUSG00000032285	mouse	Dnaja4	OG_08250	HQ_06662	MOUSE
ENSMUSG00000032288	mouse	Imp3	OG_16528	HQ_15172	MOUSE
ENSMUSG00000032289	mouse	Thsd4	OG_13711	HQ_11900	MOUSE
ENSMUSG00000032290	mouse	Ptpn9	OG_11658	HQ_09958	MOUSE
ENSMUSG00000032291	mouse	Crabp1	OG_11153	HQ_09470	MOUSE
ENSMUSG00000032292	mouse	Nr2e3	OG_15191	HQ_13261	MOUSE
ENSMUSG00000032293	mouse	Ireb2	OG_07719	HQ_06138	MOUSE
ENSMUSG00000032294	mouse	Pkm	OG_00240	HQ_01397	MOUSE
ENSMUSG00000032295	mouse	Man2c1	OG_08249	HQ_06661	MOUSE
ENSMUSG00000032297	mouse	Celf6	OG_08264	HQ_06676	MOUSE
ENSMUSG00000032298	mouse	Neil1	OG_08248	HQ_06660	MOUSE
ENSMUSG00000032299	mouse	Commd4	OG_08240	HQ_06651	MOUSE
ENSMUSG00000032300	mouse	1700017B05Rik	OG_11293	HQ_09610	MOUSE
ENSMUSG00000032301	mouse	Psma4	OG_02612	HQ_01053	MOUSE
ENSMUSG00000032303	mouse	Chrna3	OG_03372	HQ_01810	MOUSE
ENSMUSG00000032305	mouse	Fam219b	OG_16549	HQ_15197	MOUSE
ENSMUSG00000032306	mouse	Mpi	OG_16550	HQ_15200	MOUSE
ENSMUSG00000032307	mouse	Ube2q2	OG_01536	HQ_06652	MOUSE
ENSMUSG00000032308	mouse	Ulk3	OG_15948	HQ_14303	MOUSE
ENSMUSG00000032309	mouse	Fbxo22	OG_16294	HQ_16616	MOUSE
ENSMUSG00000032310	mouse	Cyp1a2	OG_08265	HQ_06677	MOUSE
ENSMUSG00000032311	mouse	Nrg4	OG_11704	HQ_10002	MOUSE
ENSMUSG00000032312	mouse	Csk	OG_15514	HQ_13642	MOUSE
ENSMUSG00000032313	mouse	Tmem266	OG_11705	HQ_10003	MOUSE
ENSMUSG00000032314	mouse	Etfa	OG_08242	HQ_06654	MOUSE
ENSMUSG00000032315	mouse	Cyp1a1	OG_08259	HQ_06671	MOUSE
ENSMUSG00000032316	mouse	Clk3	OG_12823	HQ_11066	MOUSE
ENSMUSG00000032318	mouse	Isl2	OG_10059	HQ_08428	MOUSE
ENSMUSG00000032320	mouse	Rcn2	OG_05874	HQ_04334	MOUSE
ENSMUSG00000032322	mouse	Pstpip1	OG_08241	HQ_06653	MOUSE
ENSMUSG00000032323	mouse	Cyp11a1	OG_08256	HQ_06668	MOUSE
ENSMUSG00000032324	mouse	Tspan3	OG_08245	HQ_06657	MOUSE
ENSMUSG00000032327	mouse	Stra6	OG_07927	HQ_06339	MOUSE
ENSMUSG00000032328	mouse	Tmem30a	OG_05354	HQ_03808	MOUSE
ENSMUSG00000032329	mouse	Hmg20a	OG_08243	HQ_06655	MOUSE
ENSMUSG00000032330	mouse	Cox7a2	OG_00812	HQ_03807	MOUSE
ENSMUSG00000032332	mouse	Col12a1	OG_05241	HQ_03698	MOUSE
ENSMUSG00000032333	mouse	Stoml1	OG_02960	HQ_01396	MOUSE
ENSMUSG00000032334	mouse	Loxl1	OG_06855	HQ_05287	MOUSE
ENSMUSG00000032336	mouse	Nptn	OG_09787	HQ_08165	MOUSE
ENSMUSG00000032338	mouse	Hcn4	OG_08029	HQ_06441	MOUSE
ENSMUSG00000032340	mouse	Neo1	OG_02954	HQ_01390	MOUSE
ENSMUSG00000032342	mouse	Mto1	OG_07527	HQ_05938	MOUSE
ENSMUSG00000032343	mouse	Impg1	OG_05357	HQ_03810	MOUSE
ENSMUSG00000032344	mouse	Cgas	OG_10775	HQ_09102	MOUSE
ENSMUSG00000032346	mouse	Ooep	OG_14406	HQ_SNG_008199	MOUSE
ENSMUSG00000032348	mouse	Gsta4	OG_15260	HQ_17340	MOUSE
ENSMUSG00000032349	mouse	Elovl5	OG_15336	HQ_13357	MOUSE
ENSMUSG00000032350	mouse	Gclc	OG_15305	HQ_13314	MOUSE
ENSMUSG00000032352	mouse	Lrrc1	OG_15901	HQ_14235	MOUSE
ENSMUSG00000032353	mouse	Tmed3	OG_11182	HQ_09501	MOUSE
ENSMUSG00000032355	mouse	Mlip	OG_16018	HQ_14407	MOUSE
ENSMUSG00000032356	mouse	Rasgrf1	OG_02791	HQ_01228	MOUSE
ENSMUSG00000032357	mouse	Tinag	OG_15899	HQ_14233	MOUSE
ENSMUSG00000032358	mouse	Fam83b	OG_16316	HQ_14880	MOUSE
ENSMUSG00000032359	mouse	Ctsh	OG_04390	HQ_02844	MOUSE
ENSMUSG00000032360	mouse	Hcrtr2	OG_15900	HQ_14234	MOUSE
ENSMUSG00000032363	mouse	Adamts7	OG_07717	HQ_06136	MOUSE
ENSMUSG00000032366	mouse	Tpm1	OG_08251	HQ_06663	MOUSE
ENSMUSG00000032368	mouse	Zic1	OG_09488	HQ_07871	MOUSE
ENSMUSG00000032369	mouse	Plscr1	OG_00690	HQ_00523	MOUSE
ENSMUSG00000032370	mouse	Lactb	OG_04383	HQ_02835	MOUSE
ENSMUSG00000032372	mouse	Plscr2	OG_00690	HQ_00523	MOUSE
ENSMUSG00000032373	mouse	Car12	OG_03170	HQ_01605	MOUSE
ENSMUSG00000032374	mouse	Plod2	OG_09484	HQ_07867	MOUSE
ENSMUSG00000032375	mouse	Aph1b	OG_00627	HQ_00131	MOUSE
ENSMUSG00000032376	mouse	Usp3	OG_08255	HQ_06667	MOUSE
ENSMUSG00000032377	mouse	Plscr4	OG_05525	HQ_03978	MOUSE
ENSMUSG00000032380	mouse	Dapk2	OG_02563	HQ_01004	MOUSE
ENSMUSG00000032381	mouse	Ciao2a	OG_11211	HQ_09532	MOUSE
ENSMUSG00000032382	mouse	Snx1	OG_02523	HQ_00962	MOUSE
ENSMUSG00000032383	mouse	Ppib	OG_11209	HQ_09530	MOUSE
ENSMUSG00000032384	mouse	Csnk1g1	OG_11608	HQ_09908	MOUSE
ENSMUSG00000032386	mouse	Trip4	OG_01264	HQ_02838	MOUSE
ENSMUSG00000032387	mouse	Rbpms2	OG_11222	HQ_09541	MOUSE
ENSMUSG00000032388	mouse	Spg21	OG_03668	HQ_02103	MOUSE
ENSMUSG00000032392	mouse	Parp16	OG_08027	HQ_06439	MOUSE
ENSMUSG00000032393	mouse	Dpp8	OG_03175	HQ_01610	MOUSE
ENSMUSG00000032394	mouse	Igdcc3	OG_12335	HQ_10605	MOUSE
ENSMUSG00000032396	mouse	Dis3l	OG_11255	HQ_09573	MOUSE
ENSMUSG00000032397	mouse	Tipin	OG_01154	HQ_01627	MOUSE
ENSMUSG00000032398	mouse	Snapc5	OG_16443	HQ_15069	MOUSE
